Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (Â°C),Quality
IDCJAC0002,015590,1942,01,34.3,Y
IDCJAC0002,015590,1942,02,35.5,Y
IDCJAC0002,015590,1942,03,35.5,Y
IDCJAC0002,015590,1942,04,28.7,Y
IDCJAC0002,015590,1942,05,25.6,Y
IDCJAC0002,015590,1942,06,21.0,Y
IDCJAC0002,015590,1942,07,19.4,Y
IDCJAC0002,015590,1942,08,26.0,Y
IDCJAC0002,015590,1942,09,29.3,Y
IDCJAC0002,015590,1942,10,31.4,Y
IDCJAC0002,015590,1942,11,32.6,Y
IDCJAC0002,015590,1942,12,34.8,Y
IDCJAC0002,015590,1943,01,36.9,Y
IDCJAC0002,015590,1943,02,35.2,Y
IDCJAC0002,015590,1943,03,35.4,Y
IDCJAC0002,015590,1943,04,28.5,Y
IDCJAC0002,015590,1943,05,20.6,Y
IDCJAC0002,015590,1943,06,18.7,Y
IDCJAC0002,015590,1943,07,20.0,Y
IDCJAC0002,015590,1943,08,20.4,Y
IDCJAC0002,015590,1943,09,27.5,Y
IDCJAC0002,015590,1943,10,31.0,Y
IDCJAC0002,015590,1943,11,30.3,Y
IDCJAC0002,015590,1943,12,35.4,Y
